/Applications/Adobe Acrobat Reader.app	23.006.20380
/Applications/Adobe Illustrator 2021/Adobe Illustrator.app	25.4.1
/Applications/Adobe Lightroom Classic/Adobe Lightroom Classic.app	13.0.2
/Applications/Adobe Photoshop 2023/Adobe Photoshop 2023.app	24.4.0
/Applications/AmorphousDiskMark.app	4.0.1
/Applications/Android File Transfer.app	1.0.12
/Applications/AppCleaner.app	3.6.8
/Applications/Arduino.app	1.8.13
/Applications/Avast.app	15.7.5
/Applications/Blackmagic Disk Speed Test.app	3.4.2
/Applications/Blackmagic Proxy Generator Lite.app	18.6.2
/Applications/Blackmagic RAW/Blackmagic RAW Player.app	3.4
/Applications/Blackmagic RAW/Blackmagic RAW Speed Test.app	3.4
/Applications/CheatSheet.app	1.6.4
/Applications/DaVinci Resolve/DaVinci Control Panels Setup.app
/Applications/DaVinci Resolve/DaVinci Resolve.app	18.6.2
/Applications/DaVinci Resolve/Fairlight Studio Utility.app
/Applications/DaVinci Resolve/Uninstall Resolve.app
/Applications/Discord.app	0.0.277
/Applications/Docker.app	4.22.1
/Applications/DotDotGoose.app	0.0.0
/Applications/EaseUS Data Recovery Wizard.app	13.8.5
/Applications/Elgato Camera Hub.app	1.5.2
/Applications/FUJIFILM X Acquire.app	1.24.0.4
/Applications/FUJIFILM X Webcam 2.app	2.1
/Applications/Firefox.app	111.0.1
/Applications/Firetail.app
/Applications/Flycut.app	1.9.6
/Applications/Garmin BaseCamp.app	4.8.13
/Applications/Garmin Express.app	7.17.2.0
/Applications/Garmin MapInstall.app	4.3.6
/Applications/Garmin MapManager.app	3.1.3
/Applications/Garmin WebUpdater.app	2.2.1
/Applications/Google Chrome.app	120.0.6099.109
/Applications/Google Earth Pro.app	7.3
/Applications/HP Smart.app	16.15.1
/Applications/IDrive.app
/Applications/Insta360 Studio 2023.app	4.6.6
/Applications/Keynote.app	13.2
/Applications/Logi Options.app	8.50.210
/Applications/LuLu.app	2.5.1
/Applications/Maxon Cinema 4D R22/Cinema 4D Team Render Client.app	22.0
/Applications/Maxon Cinema 4D R22/Cinema 4D Team Render Server.app	22.0
/Applications/Maxon Cinema 4D R22/Cinema 4D.app	22.0
/Applications/Maxon Cinema 4D R22/Cineware.app	22.0
/Applications/Maxon Cinema 4D R22/Commandline.app	22.0
/Applications/Maxon Cinema 4D R22/c4dpy.app	22.0
/Applications/Microsoft Teams.app	1.00.624065
/Applications/Notion.app	2.3.2
/Applications/Numbers.app	13.2
/Applications/OBS.app	29.0.2
/Applications/Pages.app	13.2
/Applications/Papers.app	4.37.2374
/Applications/ProtonVPN.app	2.3.1
/Applications/QGIS.app	3.32.1
/Applications/Safari.app	17.0
/Applications/Skitch.app	2.9
/Applications/Skype.app	8.103
/Applications/Slack.app	4.35.126
/Applications/Smart Switch/SmartSwitch.app	4.4.1.23081_6
/Applications/Smart Switch/Uninstall.app	1.0
/Applications/Spotify.app	1.2.25.1011.g0348b2ea
/Applications/Tor Browser.app	13.0.6
/Applications/Transmission.app	4.0.5
/Applications/Utilities/LogiMgr Uninstaller.app	8.50.210
/Applications/VERO.app	0.6.1-beta
/Applications/VLC.app	3.0.20
/Applications/VMware Fusion.app	12.2.1
/Applications/Visual Studio Code.app	1.84.2
/Applications/WhatsApp.app	23.24.80
/Applications/Windscribe.app	2.3.16
/Applications/calibre.app	6.24.0
/Applications/calibrite PROFILER.app	1.0.5
/Applications/com.avast.av.uninstaller.app
/Applications/iTerm.app	3.4.22
/Applications/zoom.us.app	5.16.2 (23409)
/Users/stefan/Applications/Chrome Apps.localized/Instagram.app
